Team Name,Goals Against,Penalties,Shots,Hits,PK Goals Allows/Min,FO %
ANA,385,772,4909,4380,0.04058853373921867,53.333333333333336
ARI,502,737,4543,3913,0.06971677559912855,51.359936470121106
BOS,437,721,5342,3940,0.04772475027746948,51.81657501963864
BUF,446,590,4908,3788,0.06074766355140187,49.4919731761837
CAR,451,482,4943,3161,0.06130268199233716,53.38937385494127
CBJ,441,691,4926,3799,0.053395240858966915,48.817872169905826
CGY,476,682,4786,3250,0.06221198156682028,48.7610797743755
CHI,419,531,5004,2567,0.0773067331670823,48.37019180379415
COL,516,650,4644,3535,0.07390745501285347,51.71986365044934
DAL,488,634,5130,3108,0.07128842380640942,50.05347593582887
DET,463,765,4764,3295,0.05124056094929881,51.19294605809128
EDM,449,662,4933,3890,0.04754440961337513,47.92827474420018
FLO,431,701,4999,3574,0.054458408138839016,49.01610017889087
LAK,393,664,5176,4816,0.05575980392156863,50.637230306071245
MIN,410,534,4900,2690,0.06721311475409836,52.235772357723576
MTL,431,634,4962,3797,0.06035042180402336,50.333137370174406
NJD,443,790,4281,3501,0.03476123595505618,47.86902286902287
NSH,433,658,5064,3546,0.05408583186360964,50.12569130216189
NYI,449,628,4890,4438,0.04430379746835443,48.87137989778535
NYR,431,573,4764,3878,0.07555898226676946,48.776662484316184
OTT,451,699,4786,4374,0.0633923472301542,50.771388499298745
PHI,441,700,5123,4259,0.055403181568842566,51.63491901802995
PIT,428,643,5469,4007,0.06488011283497884,48.87145209725855
SJS,407,563,4939,3225,0.06313497822931785,49.43529167961869
STL,413,684,4803,3624,0.05040448039825762,50.779352226720654
TBL,422,701,4850,3524,0.05291005291005291,48.54746317512275
TOR,474,672,5129,4056,0.05972045743329098,50.2443315089914
VAN,480,593,4583,3004,0.06716417910447761,48.31506293138449
WPJ,491,728,4873,4008,0.06980703745743473,47.623956293165655
WSH,368,663,5002,3721,0.054268696227663796,49.69132572983154
