Team Name,Blocked Shots,Goals Against,Penalties,Shots,Hits,PK Goals Allows/Min,FO %
ANA,2429,459,674,4745,3849,0.06324358171571696,51.310547284546026
ARI,2484,471,558,4971,4027,0.06304176516942474,47.8094084393297
BOS,2122,424,641,5380,3790,0.05531385954008701,50.73603549102642
BUF,2085,547,600,5253,3332,0.050351922035733625,49.739769364220834
CAR,2050,475,524,5602,3670,0.07558644656820157,51.50522219946754
CBJ,2294,458,487,5353,3486,0.07493061979648474,49.316326530612244
CGY,2133,468,661,5414,2872,0.060072815533980584,50.82050759351748
CHI,2314,546,577,5462,2726,0.069435833849969,49.36605316973415
COL,2623,481,652,5109,3332,0.06780776826859776,46.1815933216531
DAL,2563,422,646,5081,3681,0.06140917905623788,52.20081844495459
DET,2271,528,602,4883,3355,0.08137044967880086,49.81623125062084
EDM,2449,533,609,5131,4326,0.07839262187088274,48.529714168208926
FLO,2310,518,621,5527,3554,0.05496564647095565,50.28133488552581
LAK,2368,461,597,4903,4022,0.06540084388185655,50.098353866859924
MIN,2516,463,610,5043,2969,0.06954612005856516,49.5935795863772
MTL,2521,494,622,5482,4372,0.08016877637130802,48.47025779917745
NJD,2334,514,630,5085,3740,0.0587440918298447,48.15001005429318
NSH,2283,416,694,5318,3148,0.05650684931506849,52.443739466640224
NYI,2558,487,551,4932,3847,0.08275328692962104,48.19071945508727
NYR,2441,531,645,4929,3842,0.06384284837323512,48.121250394695295
OTT,2672,574,558,4843,3681,0.07311669128508123,49.780701754385966
PHI,2507,517,589,5214,3425,0.07425742574257425,53.99792315680166
PIT,2413,488,609,5553,4314,0.06703146374829001,50.40399002493765
SJS,2458,486,567,5409,2954,0.05703971119133574,50.79789972202203
STL,2416,442,555,5281,3508,0.07142857142857142,50.99679785146163
TBL,2252,455,670,5299,3844,0.0671400903808909,49.68944099378882
TOR,2217,480,495,5376,3053,0.07799442896935933,52.40488862605953
VAN,2385,511,637,4895,3544,0.060078607523863,49.50809592129535
VGK,2297,454,600,5500,4035,0.048431480462300495,49.63673057517659
WPJ,2427,460,628,5200,3671,0.0696245733788396,51.573532378454715
WSH,2454,487,655,4869,3669,0.0690978886756238,48.112717063533324
