Season,Team,Team Name,Goals Against,Penalty Kill Percent,Penalties,Penalty Minutes,Penalty Kill Goals Allowed,Win,Faceoff Percent,Faceoff Wins,Faceoff Losses,Shots,Hits
2016-2017-regular,SJS,SJS,1,0.0,2,4,1,1,50.0,28,28,31,24
2016-2017-regular,SJS,SJS,2,50.0,2,4,1,1,41.7,25,35,38,11
2016-2017-regular,SJS,SJS,7,66.7,4,8,1,0,42.6,29,39,31,17
2016-2017-regular,SJS,SJS,2,100.0,2,4,0,1,39.7,25,38,27,13
2016-2017-regular,SJS,SJS,3,80.0,6,20,1,0,47.5,28,31,34,14
2016-2017-regular,SJS,SJS,3,100.0,7,16,0,0,36.7,22,38,30,16
2016-2017-regular,SJS,SJS,1,100.0,5,21,0,1,38.6,22,35,36,11
2016-2017-regular,SJS,SJS,1,100.0,3,6,0,1,49.1,26,27,29,19
2016-2017-regular,SJS,SJS,1,100.0,1,2,0,1,54.7,35,29,27,27
2016-2017-regular,SJS,SJS,3,100.0,3,9,0,0,59.2,45,31,41,13
2016-2017-regular,SJS,SJS,3,100.0,4,8,0,0,58.9,33,23,28,24
2016-2017-regular,SJS,SJS,5,100.0,3,9,0,0,59.7,40,27,32,33
2016-2017-regular,SJS,SJS,0,100.0,3,6,0,1,45.1,23,28,23,15
2016-2017-regular,SJS,SJS,2,100.0,1,2,0,1,56.9,33,25,29,16
2016-2017-regular,SJS,SJS,1,100.0,2,4,0,1,50.8,30,29,19,23
2016-2017-regular,SJS,SJS,1,100.0,1,2,0,0,30.6,15,34,22,21
2016-2017-regular,SJS,SJS,3,75.0,4,8,1,0,38.7,24,38,31,8
2016-2017-regular,SJS,SJS,3,75.0,5,13,1,0,50.7,35,34,45,15
2016-2017-regular,SJS,SJS,0,100.0,3,6,0,1,47.9,34,37,42,13
2016-2017-regular,SJS,SJS,1,100.0,3,6,0,1,55.6,30,24,35,34
2016-2017-regular,SJS,SJS,2,0.0,1,2,1,1,47.9,23,25,28,15
2016-2017-regular,SJS,SJS,3,0.0,1,2,1,0,50.7,35,34,23,31
2016-2017-regular,SJS,SJS,1,100.0,3,6,0,1,58.7,27,19,42,26
2016-2017-regular,SJS,SJS,1,50.0,2,4,1,1,37.3,22,37,24,28
2016-2017-regular,SJS,SJS,1,75.0,3,8,1,1,60.0,39,26,30,27
2016-2017-regular,SJS,SJS,4,75.0,4,8,1,0,55.4,36,29,37,24
2016-2017-regular,SJS,SJS,3,100.0,4,11,0,0,43.4,23,30,24,24
2016-2017-regular,SJS,SJS,3,0.0,3,6,2,1,42.9,24,32,20,23
2016-2017-regular,SJS,SJS,2,66.7,4,8,1,1,37.7,26,43,42,23
2016-2017-regular,SJS,SJS,3,80.0,9,29,1,1,48.5,33,35,27,28
2016-2017-regular,SJS,SJS,2,100.0,3,6,0,1,40.4,23,34,23,16
2016-2017-regular,SJS,SJS,4,100.0,2,4,0,0,50.0,21,21,34,25
2016-2017-regular,SJS,SJS,1,100.0,1,2,0,1,51.9,28,26,34,16
2016-2017-regular,SJS,SJS,2,100.0,8,22,0,1,48.5,33,35,31,17
2016-2017-regular,SJS,SJS,2,100.0,2,7,0,1,37.5,21,35,25,17
2016-2017-regular,SJS,SJS,0,100.0,2,4,0,1,50.0,29,29,34,11
2016-2017-regular,SJS,SJS,3,80.0,6,15,1,0,50.0,26,26,20,27
2016-2017-regular,SJS,SJS,2,66.7,3,6,1,0,50.8,33,32,27,28
2016-2017-regular,SJS,SJS,5,66.7,3,6,1,0,51.9,28,26,34,22
2016-2017-regular,SJS,SJS,3,100.0,1,2,0,1,42.1,24,33,35,20
2016-2017-regular,SJS,SJS,3,100.0,2,4,0,1,62.5,35,21,28,7
2016-2017-regular,SJS,SJS,3,50.0,3,6,1,0,40.4,21,31,26,11
2016-2017-regular,SJS,SJS,4,66.7,5,21,1,0,48.3,28,30,23,30
2016-2017-regular,SJS,SJS,2,100.0,3,9,0,1,54.5,30,25,32,17
2016-2017-regular,SJS,SJS,2,100.0,6,12,0,1,47.7,31,34,27,27
2016-2017-regular,SJS,SJS,1,66.7,4,8,1,1,52.1,25,23,24,17
2016-2017-regular,SJS,SJS,2,0.0,1,2,0,1,56.9,33,25,30,13
2016-2017-regular,SJS,SJS,2,66.7,3,6,1,1,37.3,19,32,26,10
2016-2017-regular,SJS,SJS,3,100.0,2,4,0,1,39.0,23,36,26,9
2016-2017-regular,SJS,SJS,4,50.0,2,4,1,0,50.9,27,26,33,22
2016-2017-regular,SJS,SJS,1,100.0,3,6,0,1,41.3,19,27,29,25
2016-2017-regular,SJS,SJS,1,100.0,2,4,0,1,36.5,23,40,32,12
2016-2017-regular,SJS,SJS,2,75.0,6,15,1,0,43.1,25,33,40,19
2016-2017-regular,SJS,SJS,5,33.3,4,8,2,0,60.0,33,22,40,11
2016-2017-regular,SJS,SJS,6,33.3,3,6,2,0,43.9,29,37,26,23
2016-2017-regular,SJS,SJS,2,100.0,4,8,0,0,50.0,28,28,24,34
2016-2017-regular,SJS,SJS,1,100.0,3,9,0,1,50.0,25,25,38,14
2016-2017-regular,SJS,SJS,6,100.0,2,4,0,0,56.5,35,27,36,10
