Season,Team,Team Name,Blocked Shots,Goals Against,Penalty Kill Percent,Penalties,Penalty Minutes,Penalty Kill Goals Allowed,Win,Faceoff Percent,Faceoff Wins,Faceoff Losses,Shots,Hits
2017-2018-regular,SJS,SJS,17,5,40.0,5,10,3,0,48.3,28,30,35,14
2017-2018-regular,SJS,SJS,14,4,100.0,6,12,0,0,50.7,35,34,25,29
2017-2018-regular,SJS,SJS,15,2,100.0,3,6,0,1,52.9,36,32,26,23
2017-2018-regular,SJS,SJS,20,3,100.0,4,8,0,0,65.4,34,18,41,16
2017-2018-regular,SJS,SJS,20,2,83.3,6,12,1,1,52.7,29,26,35,20
2017-2018-regular,SJS,SJS,10,0,100.0,5,10,0,1,63.3,38,22,33,30
2017-2018-regular,SJS,SJS,16,5,100.0,2,4,0,0,49.1,27,28,31,13
2017-2018-regular,SJS,SJS,11,1,100.0,6,12,0,1,45.5,25,30,24,18
2017-2018-regular,SJS,SJS,14,2,100.0,2,4,0,0,54.5,36,30,37,24
2017-2018-regular,SJS,SJS,17,2,80.0,5,10,1,1,48.4,30,32,31,15
2017-2018-regular,SJS,SJS,25,2,0.0,0,0,0,1,54.7,35,29,39,13
2017-2018-regular,SJS,SJS,26,1,100.0,8,27,0,1,46.2,24,28,23,25
2017-2018-regular,SJS,SJS,19,1,100.0,1,2,0,1,52.5,31,28,45,21
2017-2018-regular,SJS,SJS,11,5,75.0,4,8,1,0,66.0,35,18,33,25
2017-2018-regular,SJS,SJS,21,0,100.0,6,23,0,1,52.5,32,29,31,21
2017-2018-regular,SJS,SJS,22,1,75.0,4,8,1,1,48.3,29,31,33,14
2017-2018-regular,SJS,SJS,12,2,100.0,1,2,0,0,51.5,34,32,35,19
2017-2018-regular,SJS,SJS,12,3,100.0,3,6,0,0,50.0,36,36,37,23
2017-2018-regular,SJS,SJS,7,2,100.0,2,4,0,0,48.6,35,37,42,24
2017-2018-regular,SJS,SJS,16,1,100.0,3,6,0,1,43.1,25,33,26,18
2017-2018-regular,SJS,SJS,19,5,50.0,4,8,2,0,41.9,26,36,26,21
2017-2018-regular,SJS,SJS,21,0,100.0,3,6,0,1,61.7,37,23,34,15
2017-2018-regular,SJS,SJS,15,1,100.0,3,6,0,1,45.6,26,31,34,12
2017-2018-regular,SJS,SJS,17,1,100.0,2,4,0,1,49.1,26,27,32,17
2017-2018-regular,SJS,SJS,20,5,50.0,2,4,1,0,51.5,35,33,27,14
2017-2018-regular,SJS,SJS,12,4,66.7,12,41,2,0,41.4,24,34,25,18
2017-2018-regular,SJS,SJS,12,4,100.0,3,6,0,1,42.0,21,29,33,23
2017-2018-regular,SJS,SJS,17,0,100.0,7,17,0,1,50.9,28,27,50,21
2017-2018-regular,SJS,SJS,11,4,66.7,3,6,1,0,47.4,27,30,34,22
2017-2018-regular,SJS,SJS,14,2,100.0,3,6,0,1,52.5,32,29,29,7
2017-2018-regular,SJS,SJS,5,4,33.3,3,6,2,0,58.0,29,21,37,12
2017-2018-regular,SJS,SJS,15,5,100.0,3,6,0,0,52.9,36,32,21,9
2017-2018-regular,SJS,SJS,10,4,100.0,5,13,0,1,51.7,30,28,32,12
2017-2018-regular,SJS,SJS,21,0,100.0,6,12,0,1,54.5,30,25,31,22
2017-2018-regular,SJS,SJS,16,2,66.7,3,6,1,1,58.6,34,24,32,11
2017-2018-regular,SJS,SJS,12,6,66.7,4,8,1,0,44.2,23,29,26,16
2017-2018-regular,SJS,SJS,15,1,80.0,5,10,1,1,50.0,28,28,33,13
2017-2018-regular,SJS,SJS,13,2,75.0,4,13,1,0,51.5,35,33,35,30
2017-2018-regular,SJS,SJS,20,6,50.0,2,4,1,0,36.8,28,48,35,16
2017-2018-regular,SJS,SJS,15,4,66.7,4,11,1,0,46.9,30,34,32,12
2017-2018-regular,SJS,SJS,17,5,100.0,1,2,0,1,57.8,37,27,44,12
2017-2018-regular,SJS,SJS,15,1,100.0,2,4,0,1,44.9,22,27,33,17
2017-2018-regular,SJS,SJS,29,2,100.0,2,4,0,1,45.6,26,31,22,15
2017-2018-regular,SJS,SJS,12,5,75.0,4,8,1,0,57.4,39,29,48,5
2017-2018-regular,SJS,SJS,28,1,100.0,4,8,0,1,50.8,30,29,36,15
2017-2018-regular,SJS,SJS,18,2,66.7,3,6,1,1,45.9,28,33,26,14
2017-2018-regular,SJS,SJS,21,5,50.0,4,19,1,0,46.6,27,31,33,25
2017-2018-regular,SJS,SJS,13,6,66.7,4,16,1,0,50.0,29,29,28,9
2017-2018-regular,SJS,SJS,11,5,100.0,4,8,0,0,40.9,27,39,42,17
2017-2018-regular,SJS,SJS,13,1,100.0,3,6,0,0,53.2,33,29,31,19
2017-2018-regular,SJS,SJS,19,1,100.0,2,4,0,1,45.9,28,33,28,9
2017-2018-regular,SJS,SJS,15,1,100.0,2,7,0,1,52.0,26,24,26,17
2017-2018-regular,SJS,SJS,12,3,100.0,2,4,0,0,55.8,29,23,39,7
2017-2018-regular,SJS,SJS,14,5,80.0,5,10,1,0,54.8,40,33,38,10
2017-2018-regular,SJS,SJS,21,4,100.0,3,6,0,1,59.3,35,24,30,15
2017-2018-regular,SJS,SJS,18,2,100.0,3,9,0,1,57.7,41,30,39,13
2017-2018-regular,SJS,SJS,12,2,50.0,3,6,1,0,58.6,41,29,41,17
2017-2018-regular,SJS,SJS,13,1,100.0,1,2,0,1,42.6,23,31,30,16
2017-2018-regular,SJS,SJS,25,2,0.0,0,0,0,1,54.9,28,23,28,12
2017-2018-regular,SJS,SJS,19,2,66.7,3,6,1,1,50.9,29,28,23,13
2017-2018-regular,SJS,SJS,12,7,50.0,2,4,1,0,53.6,37,32,34,10
2017-2018-regular,SJS,SJS,23,3,100.0,2,4,0,0,60.8,48,31,43,15
2017-2018-regular,SJS,SJS,24,3,100.0,3,6,0,0,53.8,35,30,28,12
2017-2018-regular,SJS,SJS,20,2,100.0,3,6,0,1,51.7,31,29,37,20
2017-2018-regular,SJS,SJS,28,2,100.0,1,2,0,1,50.0,32,32,34,15
2017-2018-regular,SJS,SJS,17,4,100.0,2,4,0,0,59.7,37,25,35,29
2017-2018-regular,SJS,SJS,18,0,100.0,1,2,0,1,53.1,26,23,36,22
2017-2018-regular,SJS,SJS,20,2,0.0,0,0,0,0,37.7,20,33,24,24
2017-2018-regular,SJS,SJS,13,3,100.0,2,4,0,1,47.4,27,30,34,12
2017-2018-regular,SJS,SJS,14,3,100.0,1,2,0,1,51.5,34,32,40,17
2017-2018-regular,SJS,SJS,11,4,100.0,2,4,0,1,46.2,37,43,28,15
2017-2018-regular,SJS,SJS,23,3,25.0,4,8,3,1,50.0,36,36,30,17
2017-2018-regular,SJS,SJS,17,2,100.0,4,8,0,1,54.5,36,30,25,17
2017-2018-regular,SJS,SJS,13,1,100.0,2,4,0,1,50.0,29,29,44,16
2017-2018-regular,SJS,SJS,14,1,100.0,8,22,0,1,51.5,34,32,33,14
2017-2018-regular,SJS,SJS,20,3,100.0,2,4,0,1,55.4,31,25,38,25
2017-2018-regular,SJS,SJS,19,3,0.0,1,2,1,0,53.4,31,27,24,12
2017-2018-regular,SJS,SJS,10,5,100.0,5,10,0,0,56.3,40,31,41,12
2017-2018-regular,SJS,SJS,23,3,100.0,6,28,0,0,44.1,30,38,31,22
2017-2018-regular,SJS,SJS,21,4,100.0,1,2,0,0,53.6,30,26,31,15
2017-2018-regular,SJS,SJS,28,2,0.0,1,2,1,1,54.2,32,27,36,18
2017-2018-regular,SJS,SJS,23,6,100.0,1,2,0,0,51.9,28,26,30,16
2017-2018-regular,STL,STL,19,4,80.0,5,10,1,1,41.2,28,40,34,36
2017-2018-regular,STL,STL,15,2,75.0,5,10,1,1,53.0,35,31,21,39
