Team Name,Blocked Shots,Goals Against,Penalties,Shots,Hits,PK Goals Allows/Min,FO %
ANA,2429,459,674,4745,3849,0.063243582,51.31054728
ARI,2484,471,558,4971,4027,0.063041765,47.80940844
BOS,2122,424,641,5380,3790,0.05531386,50.73603549
BUF,2085,547,600,5253,3332,0.050351922,49.73976936
CAR,2050,475,524,5602,3670,0.075586447,51.5052222
CBJ,2294,458,487,5353,3486,0.07493062,49.31632653
CGY,2133,468,661,5414,2872,0.060072816,50.82050759
CHI,2314,546,577,5462,2726,0.069435834,49.36605317
COL,2623,481,652,5109,3332,0.067807768,46.18159332
DAL,2563,422,646,5081,3681,0.061409179,52.20081844
DET,2271,528,602,4883,3355,0.08137045,49.81623125
EDM,2449,533,609,5131,4326,0.078392622,48.52971417
FLO,2310,518,621,5527,3554,0.054965646,50.28133489
LAK,2368,461,597,4903,4022,0.065400844,50.09835387
MIN,2516,463,610,5043,2969,0.06954612,49.59357959
MTL,2521,494,622,5482,4372,0.080168776,48.4702578
NJD,2334,514,630,5085,3740,0.058744092,48.15001005
NSH,2283,416,694,5318,3148,0.056506849,52.44373947
NYI,2558,487,551,4932,3847,0.082753287,48.19071946
NYR,2441,531,645,4929,3842,0.063842848,48.12125039
OTT,2672,574,558,4843,3681,0.073116691,49.78070175
PHI,2507,517,589,5214,3425,0.074257426,53.99792316
PIT,2413,488,609,5553,4314,0.067031464,50.40399002
SJS,2458,486,567,5409,2954,0.057039711,50.79789972
STL,2416,442,555,5281,3508,0.071428571,50.99679785
TBL,2252,455,670,5299,3844,0.06714009,49.68944099
TOR,2217,480,495,5376,3053,0.077994429,52.40488863
VAN,2385,511,637,4895,3544,0.060078608,49.50809592
VGK,2297,454,600,5500,4035,0.04843148,49.63673058
WPJ,2427,460,628,5200,3671,0.069624573,51.57353238
WSH,2454,487,655,4869,3669,0.069097889,48.11271706
